000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-04
000.000 Log file "afb.log", TCP port 59144, debug mask 0x03
000.000 Station A is waiting for station B on TCP port 59144 ... Done.
000.441 New epoch: Sun May 19 16:56:17 2019
000.442 =================================================================
000.442 
000.442 Designed by yu, build: May 19 2019  16:55:51
000.442 Send DATA 0 63, ID 10000
000.695 Send DATA 1 63, ID 10001
000.948 Send DATA 2 63, ID 10002
000.997 Recv DATA 0 63, ID 20000
001.220 Send DATA 3 0, ID 10003
001.268 **** Receiver Error, Bad CRC Checksum
001.489 Send DATA 4 0, ID 10004
001.505 Recv DATA 2 63, ID 20002
001.743 Send DATA 5 0, ID 10005
001.775 Recv DATA 3 0, ID 20003
002.013 Send DATA 6 0, ID 10006
002.046 Recv DATA 4 1, ID 20004
002.269 Send DATA 7 0, ID 10007
002.316 Recv DATA 5 2, ID 20005
002.538 Send DATA 8 0, ID 10008
002.585 Recv DATA 6 3, ID 20006
002.805 Send DATA 9 0, ID 10009
002.838 Recv DATA 7 3, ID 20007
003.060 Send DATA 10 0, ID 10010
003.109 **** Receiver Error, Bad CRC Checksum
003.237 ---- DATA 4 timeout
003.237 Send DATA 4 0, ID 10004
003.379 **** Receiver Error, Bad CRC Checksum
003.600 Send DATA 5 0, ID 10005
003.633 Recv DATA 3 3, ID 20003
003.856 Send DATA 6 0, ID 10006
003.904 Recv DATA 4 3, ID 20004
004.126 Send DATA 7 0, ID 10007
004.143 Recv DATA 5 3, ID 20005
004.382 Send DATA 8 0, ID 10008
004.430 Recv DATA 6 3, ID 20006
004.653 Send DATA 9 0, ID 10009
004.701 Recv DATA 7 4, ID 20007
004.908 Send DATA 10 0, ID 10010
004.940 Recv DATA 8 5, ID 20008
005.185 Send DATA 11 0, ID 10011
005.204 Recv DATA 1 5, ID 20001
005.205 .... 2 packets received, 912 bps, 11.40%, Err 4 (1.1e-04)
005.447 Send DATA 12 1, ID 10012
005.478 Recv DATA 2 7, ID 20002
005.703 Send DATA 13 2, ID 10013
005.735 Recv DATA 3 8, ID 20003
005.975 Send DATA 14 3, ID 10014
006.007 Recv DATA 4 9, ID 20004
006.229 Send DATA 15 4, ID 10015
006.262 Recv DATA 5 10, ID 20005
006.501 Send DATA 16 5, ID 10016
006.534 **** Receiver Error, Bad CRC Checksum
006.755 Send DATA 17 5, ID 10017
006.787 Recv DATA 7 11, ID 20007
007.027 Send DATA 18 5, ID 10018
007.059 Recv DATA 8 11, ID 20008
007.202 ---- DATA 12 timeout
007.203 Send DATA 12 5, ID 10012
007.331 Recv DATA 9 11, ID 20009
007.552 Send DATA 13 5, ID 10013
007.585 Recv DATA 10 11, ID 20010
007.823 Send DATA 14 5, ID 10014
007.855 **** Receiver Error, Bad CRC Checksum
008.075 Send DATA 15 5, ID 10015
008.107 Recv DATA 12 11, ID 20012
008.345 Send DATA 16 5, ID 10016
008.378 Recv DATA 6 11, ID 20006
008.379 .... 7 packets received, 1870 bps, 23.37%, Err 7 (1.1e-04)
008.617 Send DATA 17 6, ID 10017
008.650 **** Receiver Error, Bad CRC Checksum
008.871 Send DATA 18 6, ID 10018
008.919 Recv DATA 8 13, ID 20008
009.143 Send DATA 19 6, ID 10019
009.191 Recv DATA 9 14, ID 20009
009.398 Send DATA 20 6, ID 10020
009.447 Recv DATA 10 14, ID 20010
009.669 Send DATA 21 6, ID 10021
009.716 Recv DATA 11 14, ID 20011
009.860 ---- DATA 15 timeout
009.860 Send DATA 15 6, ID 10015
009.972 Recv DATA 12 14, ID 20012
010.193 Send DATA 16 6, ID 10016
010.241 **** Receiver Error, Bad CRC Checksum
010.462 Send DATA 17 6, ID 10017
010.495 Recv DATA 7 14, ID 20007
010.497 .... 8 packets received, 1675 bps, 20.93%, Err 8 (1.0e-04)
010.720 Send DATA 18 7, ID 10018
010.768 Recv DATA 8 14, ID 20008
010.991 Send DATA 19 8, ID 10019
011.024 Recv DATA 9 14, ID 20009
011.247 Send DATA 20 9, ID 10020
011.279 Recv DATA 10 15, ID 20010
011.517 Send DATA 21 10, ID 10021
011.549 Recv DATA 11 16, ID 20011
011.771 Send DATA 22 11, ID 10022
011.804 Recv DATA 12 17, ID 20012
012.043 Send DATA 23 12, ID 10023
012.076 **** Receiver Error, Bad CRC Checksum
012.311 Send DATA 24 12, ID 10024
012.344 Recv DATA 14 19, ID 20014
012.567 Send DATA 25 12, ID 10025
012.615 **** Receiver Error, Bad CRC Checksum
012.836 Send DATA 26 12, ID 10026
012.888 Recv DATA 16 21, ID 20016
013.092 Send DATA 27 12, ID 10027
013.141 Recv DATA 17 21, ID 20017
013.362 Send DATA 28 12, ID 10028
013.410 Recv DATA 18 21, ID 20018
013.553 ---- DATA 22 timeout
013.554 Send DATA 22 12, ID 10022
013.665 Recv DATA 19 21, ID 20019
013.888 Send DATA 23 12, ID 10023
013.937 Recv DATA 13 21, ID 20013
013.938 .... 14 packets received, 2168 bps, 27.10%, Err 10 (9.3e-05)
014.159 Send DATA 24 13, ID 10024
014.175 Recv DATA 14 21, ID 20014
014.413 Send DATA 25 14, ID 10025
014.461 Recv DATA 15 21, ID 20015
014.681 Send DATA 26 15, ID 10026
014.729 Recv DATA 16 21, ID 20016
014.951 Send DATA 27 16, ID 10027
014.983 Recv DATA 17 22, ID 20017
015.208 Send DATA 28 17, ID 10028
015.476 Send DATA 29 17, ID 10029
015.509 Recv DATA 19 24, ID 20019
015.733 Send DATA 30 17, ID 10030
015.782 Recv DATA 20 25, ID 20020
016.005 Send DATA 31 17, ID 10031
016.038 Recv DATA 21 26, ID 20021
016.273 Send DATA 32 17, ID 10032
016.305 Recv DATA 22 26, ID 20022
016.527 Send DATA 33 17, ID 10033
016.575 **** Receiver Error, Bad CRC Checksum
016.701 ---- DATA 27 timeout
016.702 Send DATA 27 17, ID 10027
016.845 **** Receiver Error, Bad CRC Checksum
017.051 Send DATA 28 17, ID 10028
017.099 **** Receiver Error, Bad CRC Checksum
017.321 Send DATA 29 17, ID 10029
017.368 Recv DATA 19 26, ID 20019
017.591 Send DATA 30 17, ID 10030
017.623 Recv DATA 20 26, ID 20020
017.847 Send DATA 31 17, ID 10031
017.894 Recv DATA 21 26, ID 20021
018.120 Send DATA 32 17, ID 10032
018.152 **** Receiver Error, Bad CRC Checksum
018.374 Send DATA 33 17, ID 10033
018.423 Recv DATA 23 28, ID 20023
018.645 Send DATA 34 17, ID 10034
018.677 Recv DATA 24 29, ID 20024
018.902 Send DATA 35 17, ID 10035
018.950 Recv DATA 18 30, ID 20018
018.951 .... 19 packets received, 2133 bps, 26.67%, Err 16 (1.1e-04)
019.177 Send DATA 36 18, ID 10036
019.210 **** Receiver Error, Bad CRC Checksum
019.431 Send DATA 37 18, ID 10037
019.479 Recv DATA 20 32, ID 20020
019.701 Send DATA 38 18, ID 10038
019.749 Recv DATA 21 33, ID 20021
019.958 Send DATA 39 18, ID 10039
020.007 Recv DATA 22 33, ID 20022
020.230 Send DATA 40 18, ID 10040
020.262 Recv DATA 23 33, ID 20023
020.405 ---- DATA 34 timeout
020.405 Send DATA 34 18, ID 10034
020.533 Recv DATA 24 33, ID 20024
020.757 Send DATA 35 18, ID 10035
020.789 Recv DATA 18 33, ID 20018
021.014 Send DATA 36 18, ID 10036
021.046 Recv DATA 19 33, ID 20019
021.047 .... 20 packets received, 2014 bps, 25.18%, Err 18 (1.1e-04)
021.286 Send DATA 37 19, ID 10037
021.318 Recv DATA 20 33, ID 20020
021.543 Send DATA 38 20, ID 10038
021.590 Recv DATA 21 33, ID 20021
021.811 Send DATA 39 21, ID 10039
